รหัสเขต,ชื่อเขต,รหัสโรงเรียน,ชื่อโรงเรียน,ประเภท,ม.6 ชาย,ม.6 หญิง,รวมม.6
57030000,สพป.เชียงราย เขต 3,57030129,บ้านพญาไพร,นักเรียนจบทั้งหมด,0,0,0
57030000,สพป.เชียงราย เขต 3,57030129,บ้านพญาไพร,มหาวิทยาลัยของรัฐ,0,0,0
57030000,สพป.เชียงราย เขต 3,57030129,บ้านพญาไพร,มหาวิทยาลัยเปิดของรัฐ,0,0,0
57030000,สพป.เชียงราย เขต 3,57030129,บ้านพญาไพร,มหาวิทยาลัยของเอกชน,0,0,0
57030000,สพป.เชียงราย เขต 3,57030129,บ้านพญาไพร,สถาบันอาชีวศึกษาของรัฐบาล,0,0,0
57030000,สพป.เชียงราย เขต 3,57030129,บ้านพญาไพร,สถาบันอาชีวศึกษาของเอกชน,0,0,0
57030000,สพป.เชียงราย เขต 3,57030129,บ้านพญาไพร,สถาบันพยาบาล,0,0,0
57030000,สพป.เชียงราย เขต 3,57030129,บ้านพญาไพร,สถาบันทหาร,0,0,0
57030000,สพป.เชียงราย เขต 3,57030129,บ้านพญาไพร,สถาบันตำรวจ,0,0,0
57030000,สพป.เชียงราย เขต 3,57030129,บ้านพญาไพร,สถาบันอื่น ๆ,0,0,0
57030000,สพป.เชียงราย เขต 3,57030129,บ้านพญาไพร,รับราชการ,0,0,0
57030000,สพป.เชียงราย เขต 3,57030129,บ้านพญาไพร,ทำงานรัฐวิสาหกิจ,0,0,0
57030000,สพป.เชียงราย เขต 3,57030129,บ้านพญาไพร,ภาคอุตสาหกรรม,0,0,0
57030000,สพป.เชียงราย เขต 3,57030129,บ้านพญาไพร,ภาคการเกษตร,0,0,0
57030000,สพป.เชียงราย เขต 3,57030129,บ้านพญาไพร,การประมง,0,0,0
57030000,สพป.เชียงราย เขต 3,57030129,บ้านพญาไพร,ค้าขาย ธุรกิจ,0,0,0
57030000,สพป.เชียงราย เขต 3,57030129,บ้านพญาไพร,งานบริการ,0,0,0
57030000,สพป.เชียงราย เขต 3,57030129,บ้านพญาไพร,รับจ้างทั่วไป,0,0,0
57030000,สพป.เชียงราย เขต 3,57030129,บ้านพญาไพร,บวชในศาสนา,0,0,0
57030000,สพป.เชียงราย เขต 3,57030129,บ้านพญาไพร,ไม่ประกอบอาชีพและไม่ศึกษาต่อ,0,0,0
57030000,สพป.เชียงราย เขต 3,57030129,บ้านพญาไพร,อื่น ๆ,0,0,0
