รหัสเขต,ชื่อเขต,รหัสโรงเรียน,ชื่อโรงเรียน,ประเภท,อ.1 ชาย,อ.1 หญิง,รวมอ.1,อ.2 ชาย,อ.2 หญิง,รวมอ.2,อ.3 ชาย,อ.3 หญิง,รวมอ.3,รวมอนุบาล ชาย,รวมอนุบาล หญิง,รวมอนุบาล,ป.1 ชาย,ป.1 หญิง,รวมป.1,ป.2 ชาย,ป.2 หญิง,รวมป.2,ป.3 ชาย,ป.3 หญิง,รวมป.3,ป.4 ชาย,ป.4 หญิง,รวมป.4,ป.5 ชาย,ป.5 หญิง,รวมป.5,ป.6 ชาย,ป.6 หญิง,รวมป.6,รวมประถม ชาย,รวมประถม หญิง,รวมประถม,ม.1 ชาย,ม.1 หญิง,รวมม.1,ม.2 ชาย,ม.2 หญิง,รวมม.2,ม.3 ชาย,ม.3 หญิง,รวมม.3,รวมม.ต้น ชาย,รวมม.ต้น หญิง,รวมม.ต้น,ม.4 ชาย,ม.4 หญิง,รวมม.4,ม.5 ชาย,ม.5 หญิง,รวมม.5,ม.6 ชาย,ม.6 หญิง,รวมม.6,ปวช.1 ชาย,ปวช.1 หญิง,รวมปวช.1,ปวช.2 ชาย,ปวช.2 หญิง,รวมปวช.2,ปวช.3 ชาย,ปวช.3 หญิง,รวมปวช.3,รวมม.ปลายและเทียบเท่า ชาย,รวมม.ปลายและเทียบเท่า หญิง,รวมม.ปลายและเทียบเท่า,รวมทั้งหมด ชาย,รวมทั้งหมด หญิง,รวมทั้งหมด
57030000,สพป.เชียงราย เขต 3,57030129,บ้านพญาไพร,นักเรียนด้อยโอกาสทั้งหมด,0,0,0,2,10,12,18,17,35,20,27,47,23,26,49,16,25,41,18,14,32,21,17,38,17,22,39,17,22,39,112,126,238,13,13,26,18,13,31,9,18,27,40,44,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,197,369
57030000,สพป.เชียงราย เขต 3,57030129,บ้านพญาไพร,เด็กถูกบังคับให้ขายแรงงาน,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57030000,สพป.เชียงราย เขต 3,57030129,บ้านพญาไพร,เด็กที่อยู่ในธุรกิจทางเพศ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57030000,สพป.เชียงราย เขต 3,57030129,บ้านพญาไพร,เด็กถูกทอดทิ้ง,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57030000,สพป.เชียงราย เขต 3,57030129,บ้านพญาไพร,เด็กในสถานพินิจและคุ้มครองเยาวชน,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57030000,สพป.เชียงราย เขต 3,57030129,บ้านพญาไพร,เด็กเร่ร่อน,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57030000,สพป.เชียงราย เขต 3,57030129,บ้านพญาไพร,ผลกระทบจากเอดส์,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57030000,สพป.เชียงราย เขต 3,57030129,บ้านพญาไพร,ชนกลุ่มน้อย,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57030000,สพป.เชียงราย เขต 3,57030129,บ้านพญาไพร,เด็กที่ถูกทำร้ายทารุณ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57030000,สพป.เชียงราย เขต 3,57030129,บ้านพญาไพร,เด็กยากจน,0,0,0,2,10,12,18,17,35,20,27,47,23,26,49,16,25,41,18,14,32,21,17,38,17,22,39,17,22,39,112,126,238,13,13,26,17,13,30,9,18,27,39,44,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171,197,368
